status	kind	fanin	rem	module	path
DONE	interface	3130	5	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/address/Address.java
DONE	interface	2963	490	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/listing/Program.java
DONE	interface	2259	1	util	Ghidra/Framework/Utility/src/main/java/ghidra/util/task/TaskMonitor.java
DONE	interface	2003	22	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataType.java
DONE	interface	1471	113	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeManager.java
DONE	interface	1338	58	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/listing/Function.java
DONE	interface	1328	6	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/address/AddressSetView.java
DONE	interface	1315	6	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/address/AddressSpace.java
DONE	interface	1297	9	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Structure.java
DONE	interface	1270	2	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataOrganization.java
DONE	interface	1264	5	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeComponent.java
DONE	interface	1251	3	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Pointer.java
DONE	interface	1241	6	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/TypeDef.java
DONE	interface	1240	8	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Composite.java
DONE	interface	1240	7	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Dynamic.java
DONE	interface	1235	7	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Array.java
DONE	interface	1233	3	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Enum.java
DONE	interface	1231	1	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/SourceArchive.java
DONE	interface	1224	6	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Union.java
DONE	interface	1222	5	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Category.java
DONE	interface	1221	4	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/TypeDefSettingsDefinition.java
DONE	interface	1219	7	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/FunctionDefinition.java
DONE	interface	1214	5	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/FactoryDataType.java
DONE	interface	1212	6	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/BuiltInDataType.java
DONE	interface	1209	13	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DynamicDataType.java
DONE	interface	1208	3	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ParameterDefinition.java
DONE	interface	1207	7	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/CompositeInternal.java
DONE	interface	1207	4	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/InternalDataTypeComponent.java
DONE	interface	1206	6	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ArrayStringable.java
DONE	interface	1205	7	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeManagerChangeListener.java
DONE	interface	1205	5	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeWithCharset.java
