ts	stub_class	referenced_by
2026-07-05T11:59:50Z	RefType	Data
2026-07-05T11:59:50Z	Reference	Data
2026-07-05T12:10:00Z	DataTypePath	DataType
2026-07-05T12:20:00Z	Transaction	DataTypeManager
2026-07-06T00:10:00Z	GenericCallingConvention	FunctionDefinition
2026-07-06T00:59:57Z	RegisterValue	ProgramContext
2026-07-06T01:10:00Z	StackFrame	Function
2026-07-06T01:10:00Z	VariableFilter	Function
2026-07-05T12:30:00Z	InstructionContext	Instruction
2026-07-05T12:30:00Z	FlowOverride	Instruction
2026-07-06T01:30:57Z	CodeUnitIterator	Listing
2026-07-06T01:30:57Z	InstructionIterator	Listing
2026-07-06T01:30:57Z	DataIterator	Listing
2026-07-06T01:30:57Z	FunctionIterator	Listing
2026-07-06T01:30:57Z	InstructionSet	Listing
2026-07-06T01:30:57Z	CommentHistory	Listing
2026-07-06T01:30:57Z	CodeUnitComments	Listing
2026-07-06T00:02:19Z	GroupPath	Group
2026-07-06T02:00:00Z	StringSettingsDefinition	Settings
2026-07-06T03:00:00Z	CompilerSpecID	ProgramArchitecture
2026-07-06T03:00:00Z	LanguageCompilerSpecPair	ProgramArchitecture
2026-07-06T04:00:00Z	DomainObjectClosedListener	DomainObject
2026-07-06T04:00:00Z	DomainObjectFileListener	DomainObject
2026-07-06T05:00:00Z	Version	DomainFile
2026-07-06T05:00:00Z	ItemCheckoutStatus	DomainFile
2026-07-11T00:00:00Z	LinkedGhidraFolder	LinkFileInfo
2026-07-11T00:00:00Z	LinkStatus	LinkFileInfo
2026-07-06T06:00:00Z	ParserContext	InstructionPrototype
2026-07-06T06:00:00Z	Mask	InstructionPrototype
2026-07-07T00:00:00Z	ComponentProvider	ActionContext
2026-07-07T00:00:00Z	ActionContextProvider	ActionContext
2026-07-07T00:00:00Z	MouseEvent	ActionContext
2026-07-07T00:00:00Z	Component	ActionContext
2026-07-07T00:00:00Z	InjectContext	InjectPayload
2026-07-07T00:00:00Z	PcodeInjectLibrary	CompilerSpec
2026-07-07T01:00:00Z	OptionType	Options
2026-07-07T01:00:00Z	PropertyEditor	Options
2026-07-07T01:00:00Z	OptionsEditor	Options
2026-07-07T01:00:00Z	HelpLocation	Options
2026-07-07T01:00:00Z	ActionTrigger	Options
2026-07-07T01:00:00Z	Color	Options
2026-07-07T01:00:00Z	Font	Options
2026-07-07T01:00:00Z	KeyStroke	Options
2026-07-07T02:00:00Z	HelpDescriptor	DockingActionIf
2026-07-07T02:00:00Z	PropertyChangeListener	DockingActionIf
2026-07-07T02:00:00Z	MenuData	DockingActionIf
2026-07-07T02:00:00Z	ToolBarData	DockingActionIf
2026-07-07T02:00:00Z	KeyBindingData	DockingActionIf
2026-07-07T02:00:00Z	KeyBindingType	DockingActionIf
2026-07-07T02:00:00Z	JButton	DockingActionIf
2026-07-07T02:00:00Z	JMenuItem	DockingActionIf
2026-07-07T02:00:00Z	KeyStroke	DockingActionIf
2026-07-07T03:00:00Z	LinkHandler	DomainFolder
2026-07-07T04:00:00Z	Processor	Language
2026-07-07T04:00:00Z	AddressLabelInfo	Language
2026-07-07T05:00:00Z	TraceAddressPropertyManager	Trace
2026-07-07T05:00:00Z	TraceBookmarkManager	Trace
2026-07-07T05:00:00Z	TraceBasedDataTypeManager	Trace
2026-07-07T05:00:00Z	TraceMemoryManager	Trace
2026-07-07T05:00:00Z	TraceRegisterContextManager	Trace
2026-07-08T00:00:00Z	Task	TrackedTaskListener
2026-07-08T00:00:00Z	DomainObjectChangedEvent	DomainObjectListener
2026-07-08T19:15:00Z	Location	Issue
2026-07-08T20:00:00Z	DomainFolderFilter	DomainFileFilter
2026-07-08T21:00:00Z	ToolIconURL	ToolTemplate
2026-07-08T21:00:00Z	ImageIcon	ToolTemplate
2026-07-08T21:00:00Z	JdomElement	ToolTemplate
2026-07-08T21:00:00Z	PluginTool	ToolTemplate
2026-07-08T22:00:00Z	LanguageNotFoundException	LanguageProvider
2026-07-08T23:30:00Z	RepositoryAdapter	ProjectManager
2026-07-08T23:30:00Z	ToolChest	ProjectManager
2026-07-08T23:45:00Z	ToolAssociationInfo	ToolServices
2026-07-08T23:50:00Z	PrototypePieces	ParamList
2026-07-08T23:50:00Z	ParameterPieces	ParamList
2026-07-09T00:00:00Z	ToolOptions	EclipseIntegrationService
2026-07-09T01:00:00Z	MessageLog	Analyzer
2026-07-09T23:23:00Z	ByteMappingScheme	MemoryBlockSourceInfo
2026-07-09T23:24:00Z	FunctionComparisonModel	FunctionComparisonService
2026-07-09T23:24:00Z	FunctionComparisonPanel	FunctionComparisonService
2026-07-09T23:36:00Z	ControlMode	DebuggerControlService
2026-07-09T23:36:00Z	DebuggerCoordinates	DebuggerControlService
2026-07-10T10:22:43Z	Guid	PdbByteReader
2026-07-10T10:22:43Z	AbstractPdb	PdbByteReader
2026-07-10T10:22:43Z	PdbReaderOptions	PdbByteReader
2026-07-10T10:30:00Z	AutoMapSpec	DebuggerAutoMappingService
2026-07-10T00:00:00Z	TraceRmiLaunchOffer	TraceRmiLauncherService
2026-07-10T00:00:00Z	ListingMarginProvider	ListingMarginProviderService
2026-07-10T11:00:00Z	RecordNumber	MsType
2026-07-10T00:00:00Z	DebuggerPlatformMapper	DebuggerPlatformService
2026-07-10T00:00:00Z	TraceObject	DebuggerPlatformService
2026-07-10T00:00:00Z	Target	DebuggerTargetService
2026-07-10T00:00:00Z	TargetPublicationListener	DebuggerTargetService
2026-07-10T00:00:00Z	FormatManager	CodeFormatService
2026-07-10T00:00:00Z	Archive	DataTypeArchiveService
2026-07-10T00:00:00Z	Navigatable	MemorySearchService
2026-07-10T00:00:00Z	SearchSettings	MemorySearchService
2026-07-10T00:00:00Z	ViewService	ViewManagerService
2026-07-10T00:00:00Z	ViewProviderService	ViewManagerService
2026-07-10T00:00:00Z	MonitorReceiver	ProgressService
2026-07-10T00:00:00Z	ProgressListener	ProgressService
2026-07-10T00:00:00Z	Task	ProgressService
2026-07-10T12:30:00Z	DefaultTraceRmiAcceptor	InternalTraceRmiService
2026-07-10T12:30:00Z	TraceRmiHandler	InternalTraceRmiService
2026-07-11T00:00:00Z	TraceRmiConnection	TraceRmiService
2026-07-11T00:00:00Z	TraceRmiAcceptor	TraceRmiService
2026-07-11T00:00:00Z	TraceRmiServiceListener	TraceRmiService
2026-07-10T13:00:00Z	EmulatorFactory	DebuggerEmulationService
2026-07-10T13:00:00Z	PcodeMachine	DebuggerEmulationService
2026-07-10T13:00:00Z	TraceSchedule	DebuggerEmulationService
2026-07-10T13:00:00Z	Scheduler	DebuggerEmulationService
2026-07-10T13:00:00Z	TracePlatform	DebuggerEmulationService
2026-07-10T13:00:00Z	Writer	DebuggerEmulationService
2026-07-10T13:00:00Z	RunResult	DebuggerEmulationService
2026-07-10T13:15:00Z	GoToOverrideService	GoToService
2026-07-11T00:00:00Z	PatternExpression	PatternValue
2026-07-11T00:00:00Z	Pattern	TokenPattern
2026-07-11T00:00:00Z	TripleSymbol	SpecificSymbol
2026-07-11T00:00:00Z	VarnodeTpl	SpecificSymbol
2026-07-11T00:00:00Z	LanguageCompilerSpecQuery	LanguageService
2026-07-11T00:00:00Z	ExternalLanguageCompilerSpecQuery	LanguageService
2026-07-11T00:00:00Z	TraceThread	DebuggerTraceManagerService
2026-07-11T12:00:00Z	SaveState	Project
2026-07-11T13:00:00Z	GraphDisplayProvider	GraphDisplayBroker
2026-07-11T13:00:00Z	GraphDisplay	GraphDisplayBroker
2026-07-11T14:00:00Z	DebuggerAddressTranslator	DebuggerStaticMappingService
2026-07-11T14:00:00Z	TraceLocation	DebuggerStaticMappingService
2026-07-11T14:00:00Z	MapEntry	DebuggerStaticMappingService
2026-07-11T14:00:00Z	ModuleMapEntry	DebuggerStaticMappingService
2026-07-11T14:00:00Z	SectionMapEntry	DebuggerStaticMappingService
2026-07-11T14:00:00Z	RegionMapEntry	DebuggerStaticMappingService
2026-07-11T14:00:00Z	ModuleMapProposal	DebuggerStaticMappingService
2026-07-11T14:00:00Z	SectionMapProposal	DebuggerStaticMappingService
2026-07-11T14:00:00Z	RegionMapProposal	DebuggerStaticMappingService
2026-08-06T02:12:23.848915+00:00	TraceOverlappedRegionException	TraceMemoryRegion
2026-07-11T15:00:00Z	Reason	PcodeArithmetic
2026-07-11T15:00:00Z	ConcretionError	PcodeArithmetic
2026-07-11T15:30:00Z	TreePath	DataTypeManagerService
2026-07-17T00:00:00Z	ValueSymbol	ContextSymbol
2026-07-17T20:30:00Z	BasicSpaceProvider	Translate
